lat,lon,sst,sst_std,mask,x,y,learned_pred,learned_var,guessed_pred,guessed_var
48.0,-8.9,,,1.0,-1.2760250260599406,5.599381784037019,0.61485183,0.33407092,0.6835388,0.07877326
48.0,-8.88,,,1.0,-1.2745527569814616,5.598897053961314,0.61860275,0.3317392,0.68630856,0.07916725
48.0,-8.86,,,1.0,-1.2730803740775487,5.59841274352369,0.6222554,0.32945144,0.68893874,0.0789361
48.0,-8.84,,,1.0,-1.2716080178364206,5.597928898820275,0.62582207,0.32720816,0.6914236,0.079484224
48.0,-8.8,,,1.0,-1.2686631048057748,5.596962513924788,0.63273007,0.32279807,0.69604117,0.079479694
48.0,-8.74,,,1.0,-1.264245375405233,5.595516242737419,0.6426357,0.31642616,0.70220184,0.07874799
48.0,-8.72,,,1.0,-1.2627727594479037,5.595035051988209,0.64584774,0.31436312,0.70410454,0.078350306
48.0,-8.7,,,1.0,-1.2613000302382726,5.594554280325514,0.6490339,0.3123212,0.705945,0.07777691
48.0,-8.68,,,1.0,-1.2598273282967796,5.594073973508495,0.65219396,0.31031394,0.7077337,0.07706714
48.0,-8.66,,,1.0,-1.2583545132453,5.59359408564069,0.65534335,0.30833423,0.70949334,0.07668269
48.0,-8.64,,,1.0,-1.2568817256122615,5.593114662397099,0.65848863,0.30638373,0.71122116,0.075589776
48.0,-8.62,,,1.0,-1.255408825011165,5.592635657965653,0.6616353,0.30446845,0.7129452,0.07463145
48.0,-8.6,,,1.0,-1.253935951978399,5.592157117937231,0.6647952,0.3025841,0.71465814,0.07369375
48.0,-8.58,,,1.0,-1.2524629661191222,5.591678996584123,0.6679687,0.3007443,0.7163804,0.072656155
48.0,-8.56,,,1.0,-1.2509900079776517,5.591201339413115,0.67117894,0.29892898,0.7181244,0.07186186
48.0,-8.52,,,1.0,-1.2480438941908834,5.5902473261099885,0.6776964,0.29544723,0.7217113,0.06912398
48.0,-8.46,,,1.0,-1.243624371304216,5.588819603052924,0.68786746,0.2905795,0.7274758,0.06523728
48.0,-8.440001,,,1.0,-1.2421511595748311,5.588344592312714,0.69137925,0.28908062,0.7295375,0.06501973
48.0,-8.42,,,1.0,-1.2406778355812889,5.587869999702852,0.6949704,0.28763723,0.73168284,0.062779546
48.0,-8.4,,,1.0,-1.2392044696444084,5.587395847795814,0.6986407,0.2862599,0.7339192,0.062559485
48.0,-8.38,,,1.0,-1.237731132092913,5.586922159080082,0.70239013,0.2849608,0.73625207,0.06004834
48.0,-8.36,,,1.0,-1.236257682486571,5.586448888291314,0.7062278,0.28373492,0.7386879,0.060001135
48.0,-8.34,,,1.0,-1.2347842614128437,5.585976080474425,0.710157,0.28259206,0.74123,0.058053613
48.0,-8.32,,,1.0,-1.2333107284233362,5.585503690449209,0.71417433,0.28153843,0.7438872,0.057210922
48.0,-8.3,,,1.0,-1.2318372241132645,5.585031763176714,0.7182846,0.28057683,0.7466605,0.0568614
48.0,-8.28,,,1.0,-1.2303636080261031,5.5845602535608405,0.72249556,0.27970916,0.74955726,0.05494666
48.0,-8.24,,,1.0,-1.2274163218647045,5.583618576918575,0.73120624,0.27827823,0.7557232,0.053488612
48.0,-8.16,,,1.0,-1.2215212545209435,5.581740501546936,0.74975824,0.27676934,0.76959074,0.05096388
48.0,-8.08,,,1.0,-1.2156255309195447,5.579869458693731,0.7696702,0.27726394,0.7854978,0.047454953
48.0,-8.0,,,1.0,-1.2097291555631708,5.57800544273485,0.7907361,0.27997804,0.80340385,0.046887755
